City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
4,Puerto Ayora,EC,73.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Sioux Lookout,CA,77.52,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
10,Vaini,TO,68.16,fog,-21.2,-175.2,Keleti Beach Resort
13,Angoche,MZ,71.74,broken clouds,-16.2325,39.9086,Guest House HESADA
16,Bredasdorp,ZA,60.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
17,Yinchuan,CN,78.93,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
19,Bengkulu,ID,76.93,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
21,Lagoa,PT,69.3,overcast clouds,39.05,-27.9833,Casa Das Faias
22,Matagami,CA,69.91,scattered clouds,49.7502,-77.6328,Hôtel Matagami
23,Norman Wells,CA,61.34,overcast clouds,65.282,-126.8329,Heritage Hotel
24,Vao,NC,70.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
25,Port Alfred,ZA,62.13,scattered clouds,-33.5906,26.891,The Halyards Hotel
34,Los Llanos De Aridane,ES,77.13,few clouds,28.6585,-17.9182,Valle Aridane
36,Castro,BR,70.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
37,Salta,AR,79.57,few clouds,-24.7859,-65.4117,Hotel Alejandro I
43,Rongcheng,CN,75.74,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
45,Atuona,PF,78.33,scattered clouds,-9.8,-139.0333,Villa Enata
46,Huarmey,PE,67.06,few clouds,-10.0681,-78.1522,Hotel Miramar
47,Soyo,AO,75.49,scattered clouds,-6.1349,12.3689,Hotel Mpampa
48,Bethel,US,74.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
53,Rikitea,PF,69.89,overcast clouds,-23.1203,-134.9692,People ThankYou
54,Parabel,RU,68.13,clear sky,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
56,Albany,US,74.53,overcast clouds,42.6001,-73.9662,
58,Naze,JP,78.06,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
60,Derzhavinsk,KZ,72.16,clear sky,51.1,66.3167,Ooo.khim Baza
62,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
63,Nikolskoye,RU,72.79,broken clouds,59.7035,30.7861,Tourist House - Sablino
67,Deming,US,75.24,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
68,Kargasok,RU,67.96,scattered clouds,59.0556,80.8572,Hotel Kargasok
71,Oliveira,BR,75.31,clear sky,-20.6964,-44.8272,Hotel Vila Mineira | Oliveira MG
73,Taikang,CN,70.2,light rain,46.8333,124.4167,Jia Hotel
74,Lima,PE,63.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
77,Mahebourg,MU,70.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Saldanha,ZA,62.13,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
84,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
88,East London,ZA,63.91,clear sky,-33.0153,27.9116,Tu Casa
90,Grants Pass,US,77.18,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
91,Luau,AO,78.57,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
93,Pacific Grove,US,62.58,overcast clouds,36.6177,-121.9166,Lovers Point Inn
94,Avarua,CK,71.65,heavy intensity rain,-21.2078,-159.775,Paradise Inn
100,Rio Sereno,PA,67.17,overcast clouds,8.8167,-82.8667,Agua Luna Ecolodge
101,Bambanglipuro,ID,72.14,clear sky,-7.95,110.2833,Puri Brata
102,Souillac,MU,70.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Hilo,US,74.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
105,Sinnamary,GF,78.6,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
111,Sola,VU,79.54,scattered clouds,-13.8833,167.55,Leumerus Bungalows
114,Shimoda,JP,73.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
115,Faanui,PF,77.77,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Coruripe,BR,77.5,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
120,Isangel,VU,75.16,broken clouds,-19.55,169.2667,Tanna Lodge
121,Corum,TR,71.65,overcast clouds,40.5,34.75,
122,Vanavara,RU,66.22,scattered clouds,60.34,102.2797,
123,Odweyne,SO,73.22,overcast clouds,9.4092,45.064,Eng Hiirey House
133,Meulaboh,ID,79.27,overcast clouds,4.1363,96.1285,Kost Pria
134,Hermanus,ZA,60.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
140,Chuy,UY,65.43,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
141,Cape Town,ZA,64.09,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
142,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
147,Chepareria,KE,62.8,light rain,1.3077,35.2039,Hamza Lodge
148,Sambava,MG,69.82,overcast clouds,-14.2667,50.1667,Melrose
153,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
161,Xinyu,CN,78.76,broken clouds,27.8043,114.9334,Xinyu Beihu Hotel
163,Bardiyah,LY,79.66,clear sky,31.7561,25.0865,بورتو بردية
164,Axim,GH,79.3,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
165,Bati,ET,65.35,moderate rain,11.1833,40.0167,Adi 01 Kebele
166,Taltal,CL,62.28,clear sky,-25.4,-70.4833,Residencial Karime
167,Ucluelet,CA,68.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
170,Outlook,CA,73.83,broken clouds,51.5001,-107.0513,Red Wheel Motel
172,Kerema,PG,76.84,overcast clouds,-7.9631,145.7785,Frena Lodge
173,Mersing,MY,79.56,scattered clouds,2.4312,103.8405,Timotel Hotel
174,Ubaitaba,BR,73.04,broken clouds,-14.3125,-39.3233,Pousada Paraíso
176,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
177,Lubuagan,PH,69.67,overcast clouds,17.3548,121.1747,Tiwod
178,Moose Factory,CA,65.05,broken clouds,51.2585,-80.6094,Moosonee Lilypad
181,Mar Del Plata,AR,61.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
182,Vihti,FI,79.74,overcast clouds,60.417,24.3197,Green suite (two rooms + balcony)
183,Cranbrook,CA,76.08,clear sky,49.4999,-115.7688,Almo Court Motel
184,Sicamous,CA,70.2,clear sky,50.8331,-118.9856,Best Western Sicamous Inn
187,Cedar City,US,77.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
188,Biak,ID,75.31,broken clouds,-0.9131,122.8766,Penginapan Kim
189,Monaragala,LK,77.86,broken clouds,6.8714,81.3487,Silanrich Hotel
190,Beloretsk,RU,67.01,scattered clouds,53.9631,58.3981,"Hotel ""Beloretsk"""
191,Along,IN,77.61,overcast clouds,28.1667,94.7667,Hotel West
197,Vila,PT,67.08,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
199,Waingapu,ID,72.41,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
201,Namibe,AO,72.84,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
202,Torbay,CA,62.76,overcast clouds,47.6666,-52.7314,Gallows Cove
204,Alofi,NU,77.2,few clouds,-19.0595,-169.9187,Taloa Heights
208,Linxia,CN,60.39,light rain,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
210,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
212,Yerbogachen,RU,64.02,clear sky,61.2767,108.0108,
214,Beira,MZ,68.09,light rain,-19.8436,34.8389,Beira Terrace Hotel
217,Quatre Cocos,MU,70.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
220,Bubaque,GW,78.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
222,Valparaiso,CL,62.24,broken clouds,-33.0393,-71.6273,Hotel Ultramar
223,Timra,SE,74.88,clear sky,62.487,17.3257,Bergefors park
224,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
227,Aykhal,RU,70.95,broken clouds,66.0,111.5,
228,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
229,Muros,ES,79.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
230,Cidreira,BR,73.99,clear sky,-30.1811,-50.2056,Hotel Castelo
232,Ilhabela,BR,76.35,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
235,Lompoc,US,69.1,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
237,Nhulunbuy,AU,70.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
239,Vaitape,PF,77.77,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
242,Ginda,IN,70.3,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
243,Saint Albans,GB,70.39,thunderstorm,51.75,-0.3333,Quality Hotel St. Albans
244,High Level,CA,62.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
245,Richards Bay,ZA,61.66,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
251,Tura,IN,76.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
252,Washington,US,79.29,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
253,Laramie,US,78.96,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
255,Colwyn Bay,GB,74.91,scattered clouds,53.2948,-3.7267,Bryn Woodlands House
256,Khani,GE,69.37,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
258,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
259,Portland,US,73.62,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
262,Udachnyy,RU,73.2,scattered clouds,66.4167,112.4,Severnoye Siyaniye
263,Tsiroanomandidy,MG,66.33,overcast clouds,-18.7667,46.0333,
267,Iisalmi,FI,73.42,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
268,Gelnica,SK,79.09,broken clouds,48.8558,20.9371,PaedDr. Stanislav Nemčík
269,Aberdeen,GB,77.49,clear sky,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
270,Vostok,RU,66.2,broken clouds,46.4856,135.8833,
271,Hovd,MN,69.51,broken clouds,48.0056,91.6419,Hotel Khovd
272,Samfya,ZM,64.85,clear sky,-11.3649,29.5565,Chita Lodge Samfya
276,Bambous Virieux,MU,70.21,clear sky,-20.3428,57.7575,Casa Tia Villa
277,Calama,CL,64.89,broken clouds,-22.4667,-68.9333,Diego De Almagro Calama
283,Rodino,RU,73.78,scattered clouds,52.5,80.25,Hotel
284,Tarko-Sale,RU,60.49,overcast clouds,64.9225,77.785,Yubileynaya
285,Flin Flon,CA,60.64,mist,54.7682,-101.865,Victoria Inn Flin Flon
288,Konakovo,RU,66.04,overcast clouds,56.7,36.7667,Konakovo hotel
289,Dali,CN,63.25,clear sky,25.7,100.1833,Dali Travelling With Hostel
290,Lawang,ID,69.33,scattered clouds,-7.8353,112.6947,Hotel Niagara
293,Mandalgovi,MN,61.39,overcast clouds,45.7625,106.2708,В.Ганбат
294,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
295,Santa Vitoria Do Palmar,BR,65.79,moderate rain,-33.5189,-53.3681,Hostel Comodoro
297,Touho,NC,69.1,few clouds,-20.7833,165.2333,Auberge Timay Evasion
300,Popondetta,PG,72.68,broken clouds,-8.7537,148.2534,Timos Transit House
301,Jiuquan,CN,77.29,overcast clouds,39.7432,98.5174,Jiuquan Hotel
302,Roblin,CA,73.83,scattered clouds,51.23,-101.3565,Harvest Moon Inn
303,Fare,PF,77.34,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
305,Pangai,TO,77.13,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
306,Palmer,US,69.76,overcast clouds,42.1584,-72.3287,Wedgewood Motel
307,Caravelas,BR,71.91,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
309,Ambon,ID,78.26,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
313,Nantucket,US,72.0,moderate rain,41.2835,-70.0995,Jared Coffin House
315,Lorengau,PG,78.98,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
318,Keffi,NG,79.45,light rain,8.8486,7.8736,Imam Family
322,Rosetta,EG,79.48,clear sky,31.4044,30.4164,Green Valley
324,Namatanai,PG,78.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
327,Aksehir,TR,75.4,overcast clouds,38.3575,31.4164,GRAND HOTEL AKŞEHİR
331,Luanda,AO,74.19,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
335,Puerto Baquerizo Moreno,EC,72.36,broken clouds,-0.9,-89.6,Hotel los Algarrobos
337,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
339,Kuito,AO,72.75,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
340,La Ronge,CA,62.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
342,Omboue,GA,76.35,broken clouds,-1.5746,9.2618,Hotel Olako
345,Camacari,BR,78.57,broken clouds,-12.6975,-38.3242,Hotel Cambuci
346,Ahlat,TR,78.28,clear sky,38.7518,42.4814,Ahlat Ogretmenevi ve Aksam Sanat Okulu
347,Pouembout,NC,65.03,few clouds,-21.1333,164.9,Camping de Tipenga
348,Morrope,PE,69.91,broken clouds,-6.5417,-80.0111,Hipolito santamaria
349,Hereford,GB,75.51,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
351,Pisco,PE,64.45,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
353,Morro Bay,US,74.75,broken clouds,35.3658,-120.8499,Inn at Morro Bay
356,Olhao,PT,76.89,few clouds,37.0286,-7.8411,Real Marina Residence
357,Margate,GB,70.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
359,Sechura,PE,73.4,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
360,Lata,PT,78.04,overcast clouds,40.1629,-8.3327,Casa Maquia
363,Songjianghe,CN,69.49,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
365,Bend,US,76.32,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
370,Abbeville,FR,71.49,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
372,Saint-Augustin,CA,76.41,broken clouds,51.226,-58.6502,
374,Guerrero Negro,MX,72.14,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
376,Kangalassy,RU,64.33,clear sky,62.3464,129.9628,
379,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
380,Honiara,SB,76.91,overcast clouds,-9.4333,159.95,Heritage Park Hotel
382,Solnechnyy,RU,73.92,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
388,Mabaruma,GY,77.25,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
389,Bath,GB,75.06,overcast clouds,51.3779,-2.3591,Francis Hotel Bath - MGallery
393,Sharlyk,RU,65.23,scattered clouds,52.9167,54.75,"Gostinitsa-Kafe ""Komil'fo"""
395,Tigre,AR,60.19,overcast clouds,-34.426,-58.5796,Puerto Delta Apartamentos
396,Sao Filipe,CV,74.44,broken clouds,14.8961,-24.4956,Hotel Xaguate
397,Damara,CF,73.9,light rain,4.9608,18.7035,
400,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
402,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
408,Tucuman,AR,68.0,clear sky,-26.8241,-65.2226,HOTEL MIAMI
410,Weihe,CN,67.33,overcast clouds,32.9952,105.3247,
411,Timmins,CA,74.79,clear sky,48.4669,-81.3331,The Senator Hotel & Conference Centre
415,Dauphin,CA,78.69,few clouds,51.1494,-100.0502,Canway Inn & Suites
416,Yuncheng,CN,78.78,clear sky,35.0231,110.9928,晋州快捷酒店
420,Lasem,ID,75.04,clear sky,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
422,Wuning,CN,74.34,light rain,29.2589,120.2311,Fu Du Hotel
424,Obo,CF,73.81,light rain,5.3998,26.4869,
425,Ferrol,ES,71.37,broken clouds,43.4832,-8.2369,Parador de Ferrol
426,Roald,NO,79.16,fog,62.5833,6.1333,Flem Cabins
428,Zaraza,VE,76.19,overcast clouds,9.3503,-65.3245,Hotel Zaraza
429,Iguape,BR,77.58,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
430,Kamenka,RU,70.03,overcast clouds,51.3223,42.7678,
434,Haapiti,PF,69.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
436,San Pelayo,CO,74.48,overcast clouds,8.9583,-75.8363,Parque
439,Altay,CN,69.21,clear sky,47.8667,88.1167,Jinqiao Hotel
441,Katherine,AU,70.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
444,Meiganga,CM,73.17,light rain,6.5167,14.3,DFR HOUSE
445,Siavonga,ZM,67.8,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
448,Sargur,IN,70.12,light rain,11.9833,76.4167,Obc Boys Hostel
450,Faya,SA,69.91,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
453,Kamareddi,IN,75.97,few clouds,18.3167,78.35,Osman Residency
454,Sibolga,ID,78.12,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
457,Pando,UY,69.89,clear sky,-34.7167,-55.95,viviendas mvotma
460,Kargala,RU,72.95,broken clouds,56.6208,83.9607,
462,Senneterre,CA,70.02,few clouds,48.3835,-77.2328,Motel Senabi
464,Camana,PE,64.62,broken clouds,-16.6228,-72.7111,Hostal Morales
465,Penzance,GB,70.48,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
467,Dhule,IN,79.23,overcast clouds,20.9,74.7833,Hotel Dwarkamai
469,Brewster,US,76.42,overcast clouds,41.3973,-73.6171,Heidi's Inn
470,Kiunga,PG,71.64,light rain,-6.1219,141.2906,Airport Lodge Kiunga
471,Miranda,CO,77.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
478,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Punto de encuentro
480,Ust-Ilimsk,RU,66.33,broken clouds,58.0006,102.6619,Alenat Tsentr
481,Yaan,NG,79.02,light rain,7.3833,8.5667,
484,Mayumba,GA,74.7,broken clouds,-3.432,10.6554,LIKWALE LODGE
485,Acari,PE,70.03,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
486,Long Xuyen,VN,78.75,few clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
487,Sept-Iles,CA,68.52,broken clouds,50.2001,-66.3821,Comfort Inn
488,Cache Creek,CA,72.18,clear sky,50.8101,-121.3246,Canadas Best Value Inn & Suites Cache Creek
489,Hegra,NO,67.91,few clouds,63.4644,11.114,Hembre Gård
490,Jos,NG,70.41,light rain,9.9167,8.9,Silk Suites
491,Santa Barbara,US,70.34,overcast clouds,34.7333,-120.0343,Upper Ballard Campground
493,Kiruna,SE,63.52,scattered clouds,67.8557,20.2251,Camp Ripan
499,Sao Jose Da Coroa Grande,BR,78.55,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
500,Varca,IN,79.66,overcast clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
502,Rocha,UY,70.38,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
504,Tarata,BO,72.82,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
505,Gloucester,GB,76.1,broken clouds,51.8657,-2.2431,Edward Hotel
506,Baykit,RU,68.63,broken clouds,61.67,96.37,
508,Buncrana,IE,74.97,clear sky,55.1333,-7.45,Inishowen Gateway Hotel
512,Grand Island,US,71.55,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
516,Oppdal,NO,73.06,broken clouds,62.5943,9.6912,Quality Hotel Skifer
517,Poum,NC,72.28,clear sky,-20.2333,164.0167,Gîte kajeon
518,Storforshei,NO,73.18,few clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
521,Hualmay,PE,66.43,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
522,Kaeo,NZ,60.33,moderate rain,-35.1,173.7833,Bushido Lodge
523,Kirakira,SB,77.99,broken clouds,-10.4544,161.9205,SanBiz Lodge
524,Teahupoo,PF,64.36,clear sky,-17.8333,-149.2667,Vanira Lodge
525,Atkarsk,RU,68.0,broken clouds,51.8718,45.0078,Hotel Kareta
527,Fairhaven,US,72.0,overcast clouds,41.6376,-70.9036,Fairfield Inn & Suites by Marriott New Bedford
531,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
534,Kuybysheve,UA,77.74,clear sky,47.358,36.6491,PitStop СЕРВИС
535,Saint-Joseph,RE,68.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
539,Vyazemskiy,RU,74.3,overcast clouds,47.5378,134.7525,Dom Otdykha Dlya Rabotnikov Rzhd
542,San Vicente,AR,79.56,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
546,Ulfborg,DK,77.47,broken clouds,56.2673,8.3217,Hedens Bed And Breakfast
548,Kapoeta,SS,72.81,overcast clouds,4.7717,33.5903,Eastgate Hotel
549,Zaysan,KZ,75.83,clear sky,47.4667,84.8667,Ерлан үй
550,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
551,Takoradi,GH,79.54,broken clouds,4.8845,-1.7554,Raybow International Hotel
552,Half Moon Bay,US,72.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
557,Barraute,CA,71.19,clear sky,48.4335,-77.6328,Auberge La Fille d'à côté
558,Northam,GB,75.2,overcast clouds,51.0333,-4.2167,Durrant House Hotel
560,Klyuchi,RU,75.9,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
562,Dingle,PH,77.02,light rain,10.9995,122.6711,SEGAYA PROPERTY
563,Sudbury,CA,76.41,broken clouds,46.49,-80.99,Travelway Inn Sudbury
564,Khasan,RU,73.96,broken clouds,42.4308,130.6434,
565,Zonguldak,TR,72.05,scattered clouds,41.25,31.8333,Süleyman Tez Ev
570,Shiraoi,JP,73.58,scattered clouds,42.55,141.35,Pirika Rera Hotel
571,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
572,Przhevalskoye,RU,74.19,few clouds,55.5093,31.8482,Next Camp
573,Marevo,RU,71.85,scattered clouds,57.3146,32.0804,"Ivushka, Gostinitsa"
576,Shaunavon,CA,77.88,clear sky,49.6501,-108.4181,Bear's Den Lodge
577,Chapais,CA,64.18,broken clouds,49.7834,-74.8492,Hôtel Opémiska
578,Shostka,UA,68.43,broken clouds,51.863,33.4698,Premiere Hotel
579,Volchikha,RU,73.74,few clouds,52.0333,80.3833,Gostinitsa
582,Nemuro,JP,61.32,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
585,Sinop,TR,73.83,clear sky,41.7711,34.8709,
586,Pueblo Nuevo,MX,68.29,overcast clouds,23.3833,-105.3833,
589,Chase,CA,74.37,few clouds,50.8165,-119.6857,Chase Country Inn Motel
590,Atambua,ID,66.99,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
591,Labuhan,ID,74.64,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
592,Bermeo,ES,75.85,overcast clouds,43.4209,-2.7215,Eco-Hotel Mundaka
593,Birin,NP,66.24,light rain,26.8865,88.0718,Sangam hotel and lodge
594,Cao Bang,VN,76.59,overcast clouds,22.6667,106.25,khách sạn 88
597,Lasa,IT,69.03,light rain,46.6166,10.7002,Pension Feldgärtenhof
598,Haradok,BY,78.91,few clouds,55.4624,29.9816,"Gostinitsa ""Sportivnyy Gorodok"""
604,Chumikan,RU,63.01,scattered clouds,54.7183,135.315,Fortuna
606,Yelizavetino,RU,70.36,scattered clouds,59.4916,29.7938,Palace Yelizavetino
607,Bogorodskoye,RU,71.78,overcast clouds,56.55,37.8833,Sosnoviy Bor
610,Saiha,IN,72.66,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
613,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
614,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
617,Neiafu,TO,74.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
619,La Union,PE,76.19,few clouds,-5.4,-80.75,Los Portales
621,Kedrovyy,RU,64.81,scattered clouds,56.1667,91.8167,
623,Altagracia De Orituco,VE,77.76,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
625,Kathmandu,NP,70.02,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
628,Marawi,PH,72.64,scattered clouds,7.9986,124.2928,Derogongan Residence
630,Shitanjing,CN,77.94,overcast clouds,39.2342,106.3439,
633,San Luis Obispo,US,70.29,overcast clouds,35.3666,-120.5343,John Cabrinha (Ranch)
634,Muyezerskiy,RU,67.01,light rain,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
635,Asosa,ET,60.13,light rain,10.0667,34.5333,Blendana Hotel Assosa
644,San Quintin,MX,68.81,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
645,Nenjiang,CN,67.84,overcast clouds,49.1833,125.2167,Nenjiang Apartment
647,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
649,Nabire,ID,75.9,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
652,Bassano,CA,72.95,clear sky,50.7834,-112.4685,Imperial Hunter Hotel
653,Miranda De Ebro,ES,78.39,overcast clouds,42.6865,-2.947,Hospedería El Convento
654,Aleksandrovsk-Sakhalinskiy,RU,71.24,overcast clouds,50.8975,142.1561,"The hotel ""Three Brothers"""
655,Fomboni,KM,76.82,clear sky,-12.28,43.7425,Pension Paradis
656,Huancabamba,PE,71.42,scattered clouds,-5.2386,-79.4506,Hospedaje El Dorado
657,Bereda,ES,75.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
658,Saint-Andre-Avellin,CA,76.87,overcast clouds,45.7168,-75.066,Auberge Petite-Nation
666,Krasnyy Oktyabr,RU,72.28,broken clouds,56.1167,38.8833,Priozernaya Hotel
667,Odesskoye,RU,67.87,light rain,54.2111,72.9651,
668,Inhambane,MZ,64.17,light rain,-23.865,35.3833,Oceano
669,Guerande,FR,74.77,few clouds,47.3291,-2.4283,Best Western Hôtel de la Cité
671,Kukuna,SL,78.06,moderate rain,9.4,-12.6667,
672,Vendome,FR,71.64,broken clouds,47.8,1.0667,Hotel Mercator
673,Saint-Michel-Des-Saints,CA,73.94,broken clouds,46.6834,-73.9159,Motel Du Mont trinity
677,Camacha,PT,74.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
