City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
226,Mozarlandia,BR,-14.7447,-50.5706,90.97,20,0,7.72,clear sky
227,Aykhal,RU,66.0,111.5,70.95,58,76,8.16,broken clouds
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,58,0,14.97,clear sky
229,Muros,ES,42.7762,-9.0603,79.16,68,56,10.85,broken clouds
230,Cidreira,BR,-30.1811,-50.2056,73.99,51,9,5.14,clear sky
231,Borzya,RU,50.3833,116.5167,54.39,92,10,5.82,clear sky
232,Ilhabela,BR,-23.7781,-45.3581,76.35,44,0,5.48,clear sky
233,San Patricio,US,28.017,-97.5169,89.87,53,5,8.59,clear sky
234,Mayskiy,RU,47.6931,40.1025,85.44,39,20,5.91,few clouds
235,Lompoc,US,34.6391,-120.4579,69.1,86,90,0.0,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,44.06,99,100,5.91,light rain
237,Nhulunbuy,AU,-12.2333,136.7667,70.41,83,67,3.44,broken clouds
238,Papara,BR,-3.9839,-38.7273,85.73,33,2,9.98,clear sky
239,Vaitape,PF,-16.5167,-151.75,77.77,65,4,12.57,clear sky
240,Adrar,MR,20.5022,-10.0711,111.65,7,37,7.87,scattered clouds
241,Boende,CD,-0.2167,20.8667,89.35,36,94,2.08,overcast clouds
242,Ginda,IN,30.6945,78.4932,70.3,98,100,1.99,overcast clouds
243,Saint Albans,GB,51.75,-0.3333,70.39,86,75,13.8,thunderstorm
244,High Level,CA,58.5169,-117.136,62.11,67,76,2.53,broken clouds
245,Richards Bay,ZA,-28.783,32.0377,61.66,68,4,9.84,clear sky
246,Acapulco,MX,16.8634,-99.8901,87.62,70,40,0.0,scattered clouds
247,Maryville,US,35.7565,-83.9705,89.28,71,40,3.0,scattered clouds
248,Puerto Del Rosario,ES,28.5004,-13.8627,80.28,69,0,16.11,clear sky
249,Pevek,RU,69.7008,170.3133,34.7,91,100,9.98,overcast clouds
250,Port Blair,IN,11.6667,92.75,82.17,85,100,17.2,overcast clouds
251,Tura,IN,25.5198,90.2201,76.98,93,100,5.68,overcast clouds
252,Washington,US,47.5001,-120.5015,79.29,43,0,4.27,clear sky
253,Laramie,US,41.3114,-105.5911,78.96,37,1,1.01,clear sky
254,Broome,US,42.2506,-75.833,81.63,78,40,1.01,scattered clouds
255,Colwyn Bay,GB,53.2948,-3.7267,74.91,77,28,5.01,scattered clouds
256,Khani,GE,41.9563,42.9566,69.37,89,69,2.37,broken clouds
257,Cayenne,GF,4.9333,-52.3333,82.09,82,75,4.0,broken clouds
258,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,37,11.81,scattered clouds
259,Portland,US,45.5234,-122.6762,73.62,69,1,3.0,clear sky
260,Port Augusta,AU,-32.5,137.7667,50.7,77,3,7.78,clear sky
261,Batagay-Alyta,RU,67.8006,130.4114,52.57,77,57,1.61,broken clouds
262,Udachnyy,RU,66.4167,112.4,73.2,53,40,8.81,scattered clouds
263,Tsiroanomandidy,MG,-18.7667,46.0333,66.33,53,93,7.45,overcast clouds
264,Ugoofaaru,MV,5.6667,73.0,81.63,77,100,20.29,moderate rain
265,Paamiut,GL,61.994,-49.6678,44.51,69,98,7.78,overcast clouds
266,Khuzhir,RU,53.1939,107.3397,57.0,69,2,6.08,clear sky
267,Iisalmi,FI,63.5592,27.1907,73.42,49,100,0.25,overcast clouds
268,Gelnica,SK,48.8558,20.9371,79.09,46,74,6.17,broken clouds
269,Aberdeen,GB,57.1437,-2.0981,77.49,73,1,8.05,clear sky
270,Vostok,RU,46.4856,135.8833,66.2,92,84,4.32,broken clouds
271,Hovd,MN,48.0056,91.6419,69.51,49,75,4.9,broken clouds
272,Samfya,ZM,-11.3649,29.5565,64.85,37,5,13.24,clear sky
273,Hailar,CN,49.2,119.7,58.68,85,36,2.1,scattered clouds
274,Iqaluit,CA,63.7506,-68.5145,48.74,94,97,15.93,overcast clouds
275,Malyye Derbety,RU,47.9547,44.6808,85.37,29,16,15.46,few clouds
276,Bambous Virieux,MU,-20.3428,57.7575,70.21,60,2,15.88,clear sky
277,Calama,CL,-22.4667,-68.9333,64.89,10,75,5.75,broken clouds
278,Vega De Alatorre,MX,20.0333,-96.6333,83.7,66,5,3.76,clear sky
279,Muktsar,IN,30.4833,74.5167,97.68,43,81,9.64,broken clouds
280,Guanica,PR,17.9716,-66.908,90.61,75,63,5.01,broken clouds
281,Bjornevatn,NO,69.6672,29.9847,53.22,62,20,11.5,few clouds
282,Kangaatsiaq,GL,68.3065,-53.4641,42.82,80,100,2.8,overcast clouds
283,Rodino,RU,52.5,80.25,73.78,43,39,3.09,scattered clouds
284,Tarko-Sale,RU,64.9225,77.785,60.49,82,100,5.37,overcast clouds
285,Flin Flon,CA,54.7682,-101.865,60.64,88,90,4.61,mist
286,Cabo San Lucas,MX,22.8909,-109.9124,92.61,51,1,2.3,clear sky
287,Bathsheba,BB,13.2167,-59.5167,86.61,79,75,18.41,broken clouds
288,Konakovo,RU,56.7,36.7667,66.04,60,91,2.89,overcast clouds
289,Dali,CN,25.7,100.1833,63.25,84,2,1.7,clear sky
290,Lawang,ID,-7.8353,112.6947,69.33,76,28,2.06,scattered clouds
291,Coahuayana,MX,18.7333,-103.6833,87.28,71,97,2.71,overcast clouds
292,Mehamn,NO,71.0357,27.8492,48.38,76,40,17.27,scattered clouds
293,Mandalgovi,MN,45.7625,106.2708,61.39,77,100,9.73,overcast clouds
294,Ahuimanu,US,21.4447,-157.8378,78.51,79,90,14.97,overcast clouds
295,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.79,79,89,10.07,moderate rain
296,Qaqortoq,GL,60.7167,-46.0333,57.7,58,100,6.11,overcast clouds
297,Touho,NC,-20.7833,165.2333,69.1,73,14,6.2,few clouds
298,Melito Di Porto Salvo,IT,37.9222,15.7714,92.23,69,0,13.8,clear sky
299,Aurora,US,39.7294,-104.8319,84.11,41,75,1.99,broken clouds
300,Popondetta,PG,-8.7537,148.2534,72.68,93,82,3.09,broken clouds
301,Jiuquan,CN,39.7432,98.5174,77.29,38,92,7.76,overcast clouds
302,Roblin,CA,51.23,-101.3565,73.83,33,25,9.22,scattered clouds
303,Fare,PF,-16.7,-151.0167,77.34,66,0,12.5,clear sky
304,Nangong,CN,37.3581,115.3744,80.11,74,0,6.62,light rain
305,Pangai,TO,-19.8,-174.35,77.13,80,37,3.56,scattered clouds
306,Palmer,US,42.1584,-72.3287,69.76,84,90,1.01,overcast clouds
307,Caravelas,BR,-17.7125,-39.2481,71.91,78,51,6.96,broken clouds
308,Fortuna,US,40.5982,-124.1573,53.94,100,90,0.0,overcast clouds
309,Ambon,ID,-3.6954,128.1814,78.26,83,96,10.58,overcast clouds
310,Demba,CD,-5.51,22.2667,87.87,21,84,4.14,broken clouds
311,Krasnovishersk,RU,60.4078,57.082,55.4,62,99,4.5,overcast clouds
312,Filadelfia,US,39.9523,-75.1638,87.04,70,75,5.01,broken clouds
313,Nantucket,US,41.2835,-70.0995,72.0,84,100,18.39,moderate rain
314,Benghazi,LY,32.1167,20.0667,83.12,57,0,17.98,clear sky
315,Lorengau,PG,-2.0226,147.2712,78.98,83,11,10.38,few clouds
316,Santa Rosa,PH,14.3122,121.1114,82.11,82,100,15.66,moderate rain
317,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.9,96,92,0.76,overcast clouds
318,Keffi,NG,8.8486,7.8736,79.45,79,90,5.1,light rain
319,Jacareacanga,BR,-6.2222,-57.7528,97.41,26,10,4.36,clear sky
320,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,13.8,clear sky
321,Norrtalje,SE,59.758,18.705,82.49,41,1,8.63,clear sky
322,Rosetta,EG,31.4044,30.4164,79.48,68,0,16.02,clear sky
323,Umm Lajj,SA,25.0213,37.2685,90.19,45,5,7.56,clear sky
324,Namatanai,PG,-3.6667,152.4333,78.67,84,46,3.36,light rain
325,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.75,81,75,12.66,broken clouds
326,Oranjemund,NA,-28.55,16.4333,68.49,29,100,4.12,overcast clouds
327,Aksehir,TR,38.3575,31.4164,75.4,41,85,3.18,overcast clouds
328,Mayahi,NE,13.9553,7.6712,92.34,42,80,12.57,broken clouds
329,Mashhad,IR,36.297,59.6062,93.34,22,0,11.5,clear sky
330,Ketchikan,US,55.3422,-131.6461,55.87,94,90,0.0,overcast clouds
331,Luanda,AO,-8.8368,13.2343,74.19,72,2,12.26,clear sky
332,Vardo,NO,70.3705,31.1107,53.8,93,75,17.27,broken clouds
333,Klaksvik,FO,62.2266,-6.589,54.52,96,100,11.43,overcast clouds
334,Ballina,AU,-28.8667,153.5667,48.78,66,0,7.9,clear sky
335,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.36,74,51,13.35,broken clouds
336,Viedma,AR,-40.8135,-62.9967,53.69,32,19,8.16,few clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,68,52,7.63,broken clouds
338,Broken Hill,AU,-31.95,141.4333,49.86,71,66,11.88,broken clouds
339,Kuito,AO,-12.3833,16.9333,72.75,24,0,5.97,clear sky
340,La Ronge,CA,55.1001,-105.2842,62.85,67,99,8.05,overcast clouds
341,Kosa,RU,59.9445,54.9977,55.31,61,99,4.85,overcast clouds
342,Omboue,GA,-1.5746,9.2618,76.35,70,78,11.1,broken clouds
343,Kyra,RU,49.5776,111.9753,53.51,85,33,4.63,scattered clouds
344,San Rafael,AR,-34.6177,-68.3301,54.48,33,0,5.19,clear sky
345,Camacari,BR,-12.6975,-38.3242,78.57,59,68,8.9,broken clouds
346,Ahlat,TR,38.7518,42.4814,78.28,27,0,9.78,clear sky
347,Pouembout,NC,-21.1333,164.9,65.03,89,15,1.45,few clouds
348,Morrope,PE,-6.5417,-80.0111,69.91,62,62,11.1,broken clouds
349,Hereford,GB,52.0568,-2.7148,75.51,57,100,4.29,overcast clouds
350,Srednekolymsk,RU,67.45,153.6833,39.34,77,100,14.27,overcast clouds
351,Pisco,PE,-13.7,-76.2167,64.45,77,75,6.91,broken clouds
352,Nisia Floresta,BR,-6.0911,-35.2086,85.01,51,56,15.73,broken clouds
353,Morro Bay,US,35.3658,-120.8499,74.75,66,59,3.51,broken clouds
354,Buzmeyin,TM,38.0507,58.2056,101.71,12,0,5.7,clear sky
355,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,90.09,50,69,3.42,broken clouds
356,Olhao,PT,37.0286,-7.8411,76.89,69,20,21.85,few clouds
357,Margate,GB,51.3813,1.3862,70.7,77,78,1.99,broken clouds
358,Maragheh,IR,37.3917,46.2398,88.59,17,0,4.43,clear sky
359,Sechura,PE,-5.5569,-80.8222,73.4,64,15,6.17,few clouds
360,Lata,PT,40.1629,-8.3327,78.04,74,87,9.4,overcast clouds
361,Yakeshi,CN,49.2833,120.7333,56.19,90,26,1.32,scattered clouds
362,Taoudenni,ML,22.6783,-3.9836,116.26,5,15,10.45,few clouds
363,Songjianghe,CN,42.1859,127.479,69.49,78,99,3.13,overcast clouds
364,Tiznit,MA,29.5833,-9.5,90.5,30,0,9.01,clear sky
365,Bend,US,44.0582,-121.3153,76.32,38,1,1.99,clear sky
366,Port Hardy,CA,50.6996,-127.4199,55.58,100,90,3.44,light rain
367,Ancud,CL,-41.8697,-73.8203,47.73,69,20,8.37,few clouds
368,Jieshi,CN,22.8134,115.8257,86.95,82,10,13.42,clear sky
369,Hami,CN,42.8,93.45,91.2,16,1,13.22,clear sky
370,Abbeville,FR,50.1,1.8333,71.49,80,88,6.17,overcast clouds
371,Leua,SK,48.2156,18.6071,88.5,63,51,8.41,broken clouds
372,Saint-Augustin,CA,51.226,-58.6502,76.41,45,75,10.02,broken clouds
373,Tuatapere,NZ,-46.1333,167.6833,48.81,90,100,4.47,overcast clouds
374,Guerrero Negro,MX,27.9769,-114.0611,72.14,71,71,9.86,broken clouds
375,Casper,US,42.8666,-106.3131,84.0,33,1,5.01,clear sky
376,Kangalassy,RU,62.3464,129.9628,64.33,68,10,6.02,clear sky
377,Barstow,US,34.8986,-117.0228,89.76,24,71,2.89,broken clouds
378,Gat,IL,31.61,34.7642,87.4,64,0,13.51,clear sky
379,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,65,0,24.16,clear sky
380,Honiara,SB,-9.4333,159.95,76.91,91,93,4.34,overcast clouds
381,Komsomolskiy,UZ,40.4272,71.7189,90.32,27,0,6.91,clear sky
382,Solnechnyy,RU,50.7214,136.6319,73.92,69,100,2.59,overcast clouds
383,Ilulissat,GL,69.2167,-51.1,53.62,40,40,12.66,scattered clouds
384,Nuuk,GL,64.1835,-51.7216,50.61,71,75,4.61,broken clouds
385,Pangnirtung,CA,66.1451,-65.7125,53.6,87,90,16.11,moderate rain
386,Constitucion,CL,-35.3333,-72.4167,53.17,90,55,14.74,broken clouds
387,Dickinson,US,29.4608,-95.0513,90.18,71,40,3.0,scattered clouds
388,Mabaruma,GY,8.2,-59.7833,77.25,94,100,4.92,overcast clouds
389,Bath,GB,51.3779,-2.3591,75.06,72,100,5.75,overcast clouds
390,Bulgan,MN,48.8125,103.5347,56.44,86,88,4.25,overcast clouds
391,Babayurt,RU,43.6002,46.7789,82.62,39,4,10.98,clear sky
392,Champerico,GT,14.3,-91.9167,91.76,75,81,4.9,broken clouds
393,Sharlyk,RU,52.9167,54.75,65.23,42,34,8.34,scattered clouds
394,Russell,US,32.3502,-85.1999,88.99,67,1,0.0,clear sky
395,Tigre,AR,-34.426,-58.5796,60.19,94,90,11.5,overcast clouds
396,Sao Filipe,CV,14.8961,-24.4956,74.44,72,61,6.51,broken clouds
397,Damara,CF,4.9608,18.7035,73.9,88,99,6.49,light rain
398,Deputatskiy,RU,69.3,139.9,42.01,85,10,3.6,clear sky
399,Ginir,ET,7.1333,40.7,58.46,64,76,14.74,broken clouds
400,Grand Gaube,MU,-20.0064,57.6608,72.0,61,0,10.0,clear sky
401,Sorland,NO,67.667,12.6934,55.47,88,100,5.01,overcast clouds
402,Kahului,US,20.8947,-156.47,77.85,90,40,12.66,scattered clouds
403,Nishihara,JP,26.1842,127.7558,80.26,97,90,10.36,overcast clouds
404,Andenes,NO,69.3143,16.1194,59.47,94,75,19.57,broken clouds
405,Karasburg,NA,-28.0167,18.75,64.18,19,98,12.15,overcast clouds
406,Dudinka,RU,69.4058,86.1778,54.07,85,85,4.47,overcast clouds
407,Kadhan,PK,24.481,68.9859,87.66,64,79,20.29,broken clouds
408,Tucuman,AR,-26.8241,-65.2226,68.0,37,0,4.61,clear sky
409,Qasigiannguit,GL,68.8193,-51.1922,53.85,56,83,6.64,broken clouds
410,Weihe,CN,32.9952,105.3247,67.33,96,92,0.69,overcast clouds
411,Timmins,CA,48.4669,-81.3331,74.79,42,0,7.23,clear sky
412,Kharp,RU,66.8014,65.8081,49.12,76,57,8.46,broken clouds
413,Humboldt,US,40.6665,-123.9178,45.14,42,57,2.48,broken clouds
414,Aripuana,BR,-9.1667,-60.6333,97.79,24,50,2.15,scattered clouds
415,Dauphin,CA,51.1494,-100.0502,78.69,30,16,12.15,few clouds
416,Yuncheng,CN,35.0231,110.9928,78.78,72,1,6.82,clear sky
417,Tazovskiy,RU,67.4667,78.7,56.71,73,100,8.08,overcast clouds
418,Yarada,IN,17.65,83.2667,84.52,89,40,4.61,mist
419,Barberton,ZA,-25.7884,31.0532,57.25,52,64,3.69,broken clouds
420,Lasem,ID,-6.6922,111.4527,75.04,71,9,6.15,clear sky
421,Bilibino,RU,68.0546,166.4372,40.19,87,6,5.59,clear sky
422,Wuning,CN,29.2589,120.2311,74.34,95,100,12.77,light rain
423,Awjilah,LY,29.1081,21.2869,93.79,19,0,14.34,clear sky
424,Obo,CF,5.3998,26.4869,73.81,79,87,2.55,light rain
425,Ferrol,ES,43.4832,-8.2369,71.37,86,68,7.34,broken clouds
426,Roald,NO,62.5833,6.1333,79.16,82,23,10.36,fog
427,Seybaplaya,MX,19.65,-90.6667,85.46,57,87,2.93,overcast clouds
428,Zaraza,VE,9.3503,-65.3245,76.19,93,100,3.98,overcast clouds
429,Iguape,BR,-24.7081,-47.5553,77.58,43,0,5.86,clear sky
430,Kamenka,RU,51.3223,42.7678,70.03,48,100,5.1,overcast clouds
431,Seoul,KR,37.5683,126.9778,81.79,60,53,2.55,broken clouds
432,Evensk,RU,61.95,159.2333,48.69,99,100,8.34,light rain
433,Calabozo,VE,8.9242,-67.4293,81.07,78,100,5.73,overcast clouds
434,Haapiti,PF,-17.5667,-149.8667,69.53,67,8,12.17,clear sky
435,Okhotsk,RU,59.3833,143.3,55.85,97,100,6.93,light rain
436,San Pelayo,CO,8.9583,-75.8363,74.48,97,100,5.37,overcast clouds
437,Nome,US,64.5011,-165.4064,48.27,87,90,9.22,overcast clouds
438,Atar,MR,20.5169,-13.0499,112.59,12,15,9.75,few clouds
439,Altay,CN,47.8667,88.1167,69.21,52,6,4.09,clear sky
440,Senovo,SI,46.0236,15.4769,84.0,51,0,1.01,clear sky
441,Katherine,AU,-14.4667,132.2667,70.12,64,98,6.91,overcast clouds
442,San Policarpo,PH,12.1791,125.5072,82.44,77,64,11.03,broken clouds
443,Kautokeino,NO,69.0125,23.0412,56.35,76,100,3.24,overcast clouds
444,Meiganga,CM,6.5167,14.3,73.17,89,100,4.12,light rain
445,Siavonga,ZM,-16.5382,28.7088,67.8,41,0,4.09,clear sky
446,Gilgit,PK,35.9221,74.3087,96.37,36,45,1.77,scattered clouds
447,Labuan,MY,5.2767,115.2417,82.11,94,40,3.44,light rain
448,Sargur,IN,11.9833,76.4167,70.12,92,91,7.72,light rain
449,Antequera,ES,37.0194,-4.5612,93.45,18,0,14.83,clear sky
450,Faya,SA,18.3851,42.4509,69.91,58,89,2.68,overcast clouds
451,Pinega,RU,64.7001,43.3936,55.71,56,71,7.02,broken clouds
452,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,2.3,broken clouds
